DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign,best.adj.r.squared,best.sigma,best.AIC
North Lahontan and Desert,6,da.sq.mi,0.5587359238944011,0.548707194892001,0.7955406261395332,55.71353296720751,2.4007018202229455e-9,2,-53.72704731027389,113.45409462054778,118.94001881001506,27.84693506489315,44,1,0,0,0
North Lahontan and Desert,6,da.sq.mi + elev.ft.8,0.6088185885083851,0.5906241042529612,0.7576947739022935,33.46171180020619,1.722390027762166e-9,3,-50.9561892893429,109.9123785786858,117.22694416464219,24.686358927150447,43,1,0,0,0
North Lahontan and Desert,6,da.sq.mi + precip.in.8,0.6510381074386737,0.6348073217381469,0.7156393109197039,40.11131188908145,1.4781791674374613e-10,3,-48.32938931532074,104.65877863064148,111.97334421659787,22.02200380334603,43,1,1,1,1
San Joaquin and Tulare,5,da.sq.mi,0.3850158708319934,0.3761030573657904,1.1187484935445795,43.19801735916016,7.84729642275636e-9,2,-107.69723686357977,221.39447372715955,228.1825133582835,86.36027523477036,69,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8,0.5782033907214923,0.5657976080956539,0.9333018798660744,46.607570691850135,1.7926886290231187e-13,3,-94.31113713023713,196.62227426047426,205.67299376863951,59.231563129385286,68,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8,0.5765428338298085,0.5640882112953911,0.935137217668704,46.291473887432275,2.0489084445445047e-13,3,-94.4506215009823,196.9012430019646,205.95196251012985,59.46474987910322,68,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8,0.533610538912006,0.5198932018211828,0.981397534443898,38.90044659389333,5.463321505067526e-12,3,-97.8788093557168,203.7576187114336,212.80833821959885,65.49359620165421,68,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,0.6151039520425275,0.6037834800437785,0.8915430614564654,54.335539375963386,7.974020783402004e-15,3,-91.06111437408634,190.1222287481727,199.17294825633795,54.04973406931934,68,1,1,1,1
Sacramento River,4,da.sq.mi,0.5007916368864985,0.4941355253783185,0.8109286408174234,75.23786767560176,6.212222553190142e-13,2,-92.10775891088132,190.21551782176263,197.2469340873237,49.320394537349536,75,1,0,0,0
Sacramento River,4,da.sq.mi + relief.ft.8,0.5659047854581576,0.5541724823624321,0.7612879998663664,48.23475670896522,3.896233120195348e-14,3,-86.72701155569882,181.45402311139765,190.8292447988124,42.88739698679942,74,1,0,0,0
Sacramento River,4,da.sq.mi + precip.in.8,0.6175737602308712,0.6072379159127866,0.7145462208368103,59.75068327512501,3.5831441595045846e-16,3,-81.847979670381,171.695959340762,181.07118102817674,37.78264632670041,74,1,0,0,0
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,0.6669973271513109,0.6533122858013647,0.671328020413666,48.739153218118425,2.100342036215198e-17,4,-76.52014635398531,163.04029270797062,174.75931981723903,32.8997357024548,73,1,1,1,1
North Coast,1,da.sq.mi,0.6288018752740746,0.621663449798576,0.7446510874086744,88.0869146049546,8.865729428986093e-13,2,-59.682358432274,125.364716864548,131.33166900424084,28.834272582903903,52,1,1,1,1
